dataset,method,time_mean_s,time_median_s,time_min_s,time_max_s,active_count,feasible,total,makespan,sum_lc,mean_lc,median_lc,active_mean_total,active_median_total,active_mean_travel,active_median_travel,active_mean_work,active_median_work,active_mean_travel_share,active_median_travel_share,all_mean_total,all_median_total,all_mean_travel,all_median_travel,all_mean_work,all_median_work,all_mean_travel_share,all_median_travel_share
D1_small,EXACT,0.0002482081763446331,0.0002482081763446331,0.0002482081763446331,0.0002482081763446331,9,12,12,111.13333333333334,1532.857142857143,127.73809523809524,117.70416666666667,77.82222222222222,84.53333333333333,66.71111111111111,70.53333333333333,11.111111111111112,10.0,0.8553281253881815,0.8560287942411516,58.36666666666667,60.516666666666666,50.03333333333333,50.516666666666666,8.333333333333334,7.5,0.6414960940411362,0.8407398296337028
D1_small,GA_LC,0.03327491716481745,0.03327491716481745,0.03327491716481745,0.03327491716481745,9,12,12,111.13333333333334,1532.857142857143,127.73809523809524,117.70416666666667,77.82222222222222,84.53333333333333,66.71111111111111,70.53333333333333,11.111111111111112,10.0,0.8553281253881815,0.8560287942411516,58.36666666666667,60.516666666666666,50.03333333333333,50.516666666666666,8.333333333333334,7.5,0.6414960940411362,0.8407398296337028
D1_small,GA_FINISH,0.03392333397641778,0.03392333397641778,0.03392333397641778,0.03392333397641778,9,12,12,114.63333333333333,2189.7988095238097,182.48323412698414,130.72291666666666,87.89259259259259,105.13333333333334,77.78148148148148,95.13333333333333,10.11111111111111,10.000000000000007,0.882494420881802,0.8691480081419017,65.91944444444444,87.58333333333334,58.33611111111111,74.1,7.583333333333333,7.5,0.6618708156613514,0.8631794300585758
D1_small,GA_DURATION,0.03388912510126829,0.03388912510126829,0.03388912510126829,0.03388912510126829,9,12,12,157.89999999999998,3379.923214285714,281.66026785714286,214.03452380952382,94.15925925925927,91.26666666666665,83.71481481481482,76.26666666666667,10.444444444444448,10.000000000000004,0.887938038315213,0.8913043478260869,70.61944444444445,66.71666666666667,62.78611111111112,57.71666666666667,7.833333333333336,6.500000000000005,0.6659535287364098,0.8655139433377826
D1_small,FREE,0.00011716620065271854,0.00011716620065271854,0.00011716620065271854,0.00011716620065271854,12,12,12,176.1,2499.720238095238,208.31001984126985,131.1732142857143,101.3861111111111,107.53333333333333,92.71944444444443,97.53333333333333,8.666666666666664,8.0,0.9038553952421401,0.9015396242537719,101.3861111111111,107.53333333333333,92.71944444444443,97.53333333333333,8.666666666666664,8.0,0.9038553952421401,0.9015396242537719
D2_medium,EXACT,0.01562874997034669,0.01562874997034669,0.01562874997034669,0.01562874997034669,23,25,25,124.4,5477.111449375072,219.0844579750029,167.34444444444443,80.47536231884058,83.7,64.99710144927536,65.60000000000001,15.47826086956522,15.0,0.7891931566992348,0.7837281153450052,66.1047619047619,70.41666666666667,53.39047619047619,53.3,12.714285714285717,11.000000000000004,0.6482658072886572,0.7548119988639095
D2_medium,GA_LC,0.15245070913806558,0.15245070913806558,0.15245070913806558,0.15245070913806558,23,25,25,120.73333333333332,5477.111449375072,219.0844579750029,167.34444444444443,80.25217391304348,83.7,64.77391304347826,65.60000000000001,15.478260869565217,15.0,0.7890040289118198,0.7837281153450052,65.92142857142856,70.41666666666667,53.207142857142856,53.3,12.714285714285714,11.000000000000004,0.6481104523204234,0.7548119988639095
D2_medium,GA_FINISH,0.14535375009290874,0.14535375009290874,0.14535375009290874,0.14535375009290874,25,25,25,223.8,17152.69732828804,686.1078931315216,647.5407980736154,151.90533333333332,157.33333333333331,135.78533333333334,129.89999999999998,16.12,12.000000000000007,0.8897946740008764,0.8996990972918756,135.6297619047619,132.33333333333334,121.23690476190475,120.83333333333334,14.392857142857144,12.0,0.7944595303579254,0.8990020910188191
D2_medium,GA_DURATION,0.14243016601540148,0.14243016601540148,0.14243016601540148,0.14243016601540148,17,25,25,649.6666666666665,54895.904781561745,2195.8361912624696,1398.307327141383,193.16078431372546,132.59999999999997,169.9843137254902,113.6,23.176470588235276,23.000000000000014,0.8726637273646044,0.8648242715530191,117.27619047619045,111.88333333333331,103.20476190476191,93.73333333333335,14.071428571428559,7.999999999999979,0.5298315487570813,0.8058419327410297
D2_medium,FREE,0.00019754213280975819,0.00019754213280975819,0.00019754213280975819,0.00019754213280975819,28,25,25,267.76666666666665,11486.258708863663,459.4503483545465,295.5824905400757,142.59285714285713,122.31666666666668,127.12857142857142,107.58333333333334,15.464285714285719,16.500000000000018,0.8759249241322679,0.8800799467021986,142.59285714285713,122.31666666666668,127.12857142857142,107.58333333333334,15.464285714285719,16.500000000000018,0.8759249241322679,0.8800799467021986
