method,active_count,feasible,total,makespan,sum_lc,mean_lc,median_lc,active_mean_total,active_median_total,active_mean_travel,active_median_travel,active_mean_work,active_median_work,active_mean_travel_share,active_median_travel_share,all_mean_total,all_median_total,all_mean_travel,all_median_travel,all_mean_work,all_median_work,all_mean_travel_share,all_median_travel_share
EXACT,10,11,11,111.9,1149.5380952380951,104.5034632034632,95.77619047619048,63.970000000000006,59.25,56.970000000000006,54.78333333333333,7.0,7.5,0.8801114315957801,0.8818578683563921,53.30833333333334,55.0,47.475,48.5,5.833333333333333,6.0,0.7334261929964834,0.8616755091878201
GA,10,11,11,111.9,1149.5380952380951,104.5034632034632,95.77619047619048,63.970000000000006,59.25,56.970000000000006,54.78333333333333,7.0,7.5,0.8801114315957801,0.8818578683563921,53.30833333333334,55.0,47.475,48.5,5.833333333333333,6.0,0.7334261929964834,0.8616755091878201
