id,tasks,request_city,team,team_city,team_names,LC,start,finish,op_time
0,"[0,2,1,3]",Самара,"[4,6]",Москва,"[МО_4,МО_6]",91.4741,0,26.5333,7.000000
1,"[3,0,1]",Екатеринбург,[5],Москва,[МО_5],169.89,0,59.9333,9.000000
2,"[1,3,0,2]",Саратов,[3],Москва,[МО_3],127.365,0,42.2,14.000000
3,"[2,0,3,1]",Иркутск,"[25,26]",Хабаровск,"[ХА_3,ХА_4]",448.285,0,114.9,8.000000
4,"[4,3,1,2]",Уфа,[7],Москва,[МО_7],135.826,0,50.9333,18.000000
5,"[2,4,3]",Уфа,[15],Санкт-Петербург,[СА_7],147.439,0,62.7,15.000000
6,"[0,1,2,4]",Саратов,[1],Москва,[МО_1],116.232,0,44.2,16.000000
7,"[1,4]",Казань,[2],Москва,[МО_2],59.4765,0,36.7,9.000000
8,"[3,1]",Уфа,[11],Санкт-Петербург,[СА_3],104.501,0,54.7,7.000000
9,"[0,1,4,3]",Краснодар,[20],Севастополь,[СЕ_4],74.1771,0,32.6333,15.000000
10,"[0,1,2]",Челябинск,[14],Санкт-Петербург,[СА_6],204.809,0,70.8333,10.000000
11,"[2,4,3,1]",Ростов,[12],Санкт-Петербург,[СА_4],239.693,0,76.9,18.000000
12,"[0,1,4,3]",Казань,[13],Санкт-Петербург,[СА_5],184.563,0,57.4667,15.000000
13,"[0,4]",Саратов,[0],Москва,[МО_0],59.7444,0,36.2,8.000000
14,"[0,4]",Пермь,[0],Москва,[МО_0],167.344,36.2,90,8.000000
15,"[0,1]",Уфа,[6],Москва,[МО_6],153.754,26.5333,64.4667,5.000000
16,"[3,4,1,2]",Екатеринбург,[9],Санкт-Петербург,[СА_1],266.893,0,83.7,18.000000
17,"[1,3,4,0]",Пермь,[3],Москва,[МО_3],408.896,42.2,103,15.000000
18,"[0,3,2,4]",Ростов,"[20,21]",Севастополь,"[СЕ_4,СЕ_5]",296.803,32.6333,70,12.000000
19,"[3,2,0,4]",Челябинск,"[4,7]",Москва,"[МО_4,МО_7]",499.512,50.9333,112,15.000000
20,"[2,4,1]",Ростов,"[16,19]",Севастополь,"[СЕ_0,СЕ_3]",92.3607,0,34.3667,9.000000
21,"[3,0,4,1]",Екатеринбург,"[2,6]",Москва,"[МО_2,МО_6]",516.417,64.4667,124.4,9.000000
22,"[0,3,4,1]",Пермь,[5],Москва,[МО_5],497.563,59.9333,120.733,15.000000
23,"[3,1,2]",Иркутск,"[22,27]",Хабаровск,"[ХА_0,ХА_5]",354.973,0,113.9,7.000000
24,"[0,2]",Ростов,[17],Севастополь,[СЕ_1],59.1199,0,32.3667,7.000000
